date,nav
,187.9708
2025-10-01,194.0951
2025-09-01,197.3978
2025-08-01,199.1083
2025-07-01,201.51
2025-06-01,199.9325
2025-03-01,204.7473
2025-02-01,204.958
2025-01-01,204.0133
,202.025
,200.9474
,202.2744
,201.1712
,201.9117
,201.8235
,203.8639
,208.1814
,208.9039
,209.149
,209.9361
,209.4705
2024-12-12,209.1364
2024-11-12,210.4887
2024-10-12,210.1936
2024-09-12,209.1188
2024-06-12,207.7793
2024-05-12,206.9634
2024-04-12,206.8799
2024-03-12,205.6142
2024-02-12,203.0662
,203.2306
,203.2298
,202.2046
,202.2303
,201.5981
,201.2427
,196.9679
,196.0174
,196.9149
,194.9632
,195.8825
,194.6035
2024-12-11,198.665
2024-11-11,201.1783
2024-08-11,202.8558
2024-07-11,204.9185
2024-06-11,205.5932
2024-05-11,203.8845
2024-04-11,204.1821
,204.7065
,201.17
,199.6621
,198.762
,199.0257
,202.3794
,204.1604
,204.119
,209.1812
,212.4258
,212.5836
,214.6138
,214.6767
,212.7061
2024-11-10,211.8682
2024-10-10,211.2075
2024-09-10,211.4618
2024-08-10,209.7125
2024-07-10,205.9307
2024-04-10,210.645
2024-03-10,211.1073
2024-01-10,214.2759
,213.8541
,213.8245
,212.393
,213.2071
,212.9454
,213.6607
,212.0753
,211.2903
,212.1974
,212.8713
,213.118
,212.6824
2024-12-09,211.2842
2024-11-09,210.1111
2024-10-09,211.8353
2024-09-09,208.709
2024-06-09,209.5018
2024-05-09,210.0836
2024-04-09,208.9043
2024-03-09,209.171
2024-02-09,208.3113
,208.4167
,208.4168
,207.0499
,207.8987
,207.4904
,206.7864
,206.3889
,206.1419
,205.6904
,204.2778
,204.1016
,202.8471
,200.5532
,201.6101
2024-12-08,202.1742
2024-09-08,201.5699
2024-08-08,201.0925
2024-07-08,202.0034
2024-06-08,199.0114
2024-05-08,199.5619
2024-02-08,206.2035
2024-01-08,207.8403
,208.4358
,208.6912
,208.2548
,205.4205
,203.7419
,204.4677
,201.7018
,202.0355
,200.7347
,203.6047
,204.6439
,204.2651
2024-12-07,204.3766
2024-11-07,205.3326
2024-10-07,204.005
2024-09-07,204.7434
2024-08-07,203.9505
2024-05-07,204.8921
2024-04-07,203.5723
2024-03-07,202.9049
2024-02-07,200.5912
2024-01-07,200.4556
,197.8755
,197.8746
,197.541
,198.6826
,199.2888
,198.9645
,198.8453
,198.7321
,197.8645
,198.2516
,198.1281
,196.4383
2024-12-06,195.4415
2024-11-06,193.7358
2024-10-06,192.3518
2024-07-06,189.5698
2024-06-06,186.5083
2024-05-06,183.0496
2024-04-06,178.3591
2024-03-06,186.9155
,183.555
,181.9907
,183.9199
,183.2963
,183.9672
,184.2296
,184.8647
,185.1718
,184.7749
,183.6697
,181.9138
,179.5407
,177.7655
,175.8048
2024-10-05,175.7796
2024-09-05,174.9782
2024-08-05,179.0846
2024-07-05,178.2565
2024-06-05,179.8196
2024-03-05,180.5829
2024-02-05,181.828
,181.4347
,181.053
,180.425
,180.4345
,179.5328
,178.2084
,177.2586
,175.6445
,174.7465
,174.6419
,174.1554
2024-12-04,175.8047
2024-10-04,176.9202
2024-09-04,175.3061
2024-08-04,175.5646
2024-05-04,175.3538
2024-04-04,174.6364
2024-03-04,173.6926
2024-02-04,172.3272
2024-01-04,171.3184
,167.8136
,167.8139
,167.1819
,166.3844
,166.5897
,165.0148
,162.0769
,162.3885
,163.1055
,162.6157
,162.5619
,160.5835
2024-12-03,166.2062
2024-11-03,168.4794
2024-07-03,169.9846
2024-06-03,168.7803
2024-05-03,171.4449
2024-04-03,172.0116
2024-01-03,171.3862
,169.9634
,169.6781
,171.1506
,170.7723
,170.7513
,169.453
,169.2609
,169.7975
,169.6421
,169.6879
,168.783
