date,nav
2025-08-01,245.6596
2025-07-01,246.128
2025-06-01,245.1046
2025-03-01,251.7558
2025-02-01,251.2933
2025-01-01,248.1978
,246.4922
,243.4722
,244.066
,244.0038
,244.3331
,244.1149
,242.1542
,247.0122
,249.1512
,250.2968
,253.2194
,252.2245
2024-12-12,252.263
2024-11-12,254.5099
2024-10-12,253.2317
2024-09-12,253.7464
2024-06-12,253.4045
2024-05-12,253.0051
2024-04-12,252.6181
2024-03-12,252.2592
2024-02-12,250.6584
,249.1551
,247.0727
,246.6074
,245.178
,244.5513
,240.6317
,236.6909
,240.0088
,239.481
,240.3952
,240.373
2024-12-11,244.9038
2024-11-11,248.0054
2024-08-11,250.1345
2024-07-11,253.7427
2024-06-11,256.9198
2024-05-11,252.3112
2024-04-11,251.6918
,253.5332
,255.0505
,251.7044
,250.392
,249.7438
,254.332
,254.7688
,254.9976
,260.1379
,263.2812
,262.7987
,265.5359
,265.9668
,266.9509
2024-11-10,266.9949
2024-10-10,265.5001
2024-09-10,267.5266
2024-08-10,266.6238
2024-07-10,262.0336
2024-04-10,268.0292
2024-03-10,270.3234
2024-01-10,274.7178
,274.5914
,276.8504
,275.1799
,273.8049
,273.07
,272.0416
,270.5107
,268.5655
,270.8616
,272.8506
,273.4417
,274.1736
2024-12-09,271.53
2024-11-09,268.7056
2024-10-09,270.5326
2024-09-09,268.7608
2024-06-09,269.5129
2024-05-09,270.8388
2024-04-09,271.3858
2024-03-09,271.965
2024-02-09,271.6547
,271.8752
,272.5436
,273.5284
,274.5194
,275.7407
,273.0467
,274.1903
,273.4851
,272.1785
,270.7532
,268.1138
,264.9184
,266.6449
2024-12-08,267.8991
2024-09-08,267.936
2024-08-08,269.6324
2024-07-08,269.1662
2024-06-08,263.3229
2024-05-08,265.4979
2024-02-08,274.6382
2024-01-08,277.2299
,278.0632
,276.394
,276.5895
,275.7654
,271.9495
,272.8352
,271.8225
,273.1838
,272.5587
,278.1595
,281.0543
,281.1083
2024-12-07,278.2819
2024-11-07,278.2463
2024-10-07,277.7518
2024-09-07,279.5706
2024-08-07,277.6996
2024-05-07,278.4743
2024-04-07,276.7635
2024-03-07,275.9579
2024-02-07,273.4437
2024-01-07,272.8824
,270.8515
,269.7836
,269.6398
,270.0778
,269.8448
,272.385
,273.0696
,271.0897
,273.3525
,272.7989
,271.1238
2024-12-06,270.1379
2024-11-06,266.9125
2024-10-06,264.3561
2024-07-06,264.4803
2024-06-06,260.5948
2024-05-06,256.1055
2024-04-06,246.1066
2024-03-06,269.8003
,260.132
,258.6151
,259.0983
,259.1987
,261.4705
,264.4223
,264.2809
,262.3579
,263.7411
,258.8589
,254.8362
,253.3955
,252.3782
,247.7744
2024-10-05,246.5479
2024-09-05,243.9372
2024-08-05,248.6217
2024-07-05,246.4945
2024-06-05,252.0095
2024-03-05,254.9479
2024-02-05,255.2092
,252.92
,252.8921
,254.0366
,249.7039
,247.1766
,244.5888
,242.4256
,240.6565
,241.6394
,240.657
,239.8675
2024-12-04,242.7975
2024-10-04,244.7396
2024-09-04,242.3212
2024-08-04,242.6806
2024-05-04,242.7884
2024-04-04,242.4742
2024-03-04,243.228
2024-02-04,240.2601
2024-01-04,237.4406
,233.2192
,233.2261
,231.2945
,230.4922
,228.6795
,228.5007
,224.0817
,223.281
,227.5049
,223.9447
,226.1193
,222.2214
2024-12-03,233.8408
2024-11-03,235.0175
2024-07-03,236.2258
2024-06-03,235.9664
2024-05-03,237.785
