date,nav
,99.3562
2025-10-01,102.1012
2025-09-01,103.1098
2025-08-01,103.8402
2025-07-01,104.7743
2025-06-01,104.6558
2025-03-01,106.6103
2025-02-01,107.1106
2025-01-01,105.2098
,104.8418
,104.8623
,105.0556
,104.9719
,104.7647
,104.9395
,104.3714
,106.5383
,107.2865
,107.6416
,108.7447
,108.8347
2024-12-12,108.5429
2024-11-12,108.7957
2024-10-12,108.5727
2024-09-12,108.3583
2024-06-12,108.4356
2024-05-12,108.3787
2024-04-12,107.6559
2024-03-12,107.207
2024-02-12,106.339
,105.2243
,105.2259
,104.5539
,105.5935
,105.3089
,105.6098
,104.0153
,102.6084
,102.9426
,102.287
,102.3533
,102.2523
2024-12-11,104.013
2024-11-11,105.1594
2024-08-11,105.3856
2024-07-11,105.9354
2024-06-11,106.7263
2024-05-11,104.9973
2024-04-11,104.8151
,105.222
,105.6041
,105.9613
,105.3964
,105.8433
,106.5309
,106.768
,106.4297
,108.0928
,108.7862
,108.5302
,110.0784
,110.569
,110.681
2024-11-10,110.2456
2024-10-10,110.2257
2024-09-10,110.5143
2024-08-10,109.2294
2024-07-10,107.8549
2024-04-10,109.2162
2024-03-10,110.1986
2024-01-10,112.3285
,112.3338
,113.6083
,113.6849
,113.1368
,113.5942
,113.547
,112.7908
,111.1788
,111.2418
,110.9778
,110.7179
,110.5442
2024-12-09,110.5163
2024-11-09,108.7761
2024-10-09,108.8255
2024-09-09,108.295
2024-06-09,108.1266
2024-05-09,108.8654
2024-04-09,108.8874
2024-03-09,108.8271
2024-02-09,108.9623
,108.8172
,108.8193
,107.8731
,107.8057
,107.7123
,107.2803
,106.6293
,106.7491
,106.4116
,106.4228
,105.1849
,105.3212
,103.5686
,103.6796
2024-12-08,104.7072
2024-09-08,105.1196
2024-08-08,104.0397
2024-07-08,104.7231
2024-06-08,102.7567
2024-05-08,103.3697
2024-02-08,106.2855
2024-01-08,106.8677
,107.2541
,106.1309
,106.152
,105.5663
,103.9297
,103.5237
,103.4111
,103.7408
,103.1529
,104.7371
,104.2689
,104.2503
2024-12-07,103.8648
2024-11-07,103.391
2024-10-07,103.6139
2024-09-07,103.826
2024-08-07,103.2534
2024-05-07,103.8188
2024-04-07,103.5511
2024-03-07,103.5393
2024-02-07,102.868
2024-01-07,103.1944
,102.6191
,103.0033
,102.4418
,102.2506
,101.9085
,101.2079
,101.8546
,101.7992
,102.2403
,101.7146
,101.0481
2024-12-06,100.2724
2024-11-06,99.8719
2024-10-06,99.7429
2024-07-06,99.5188
2024-06-06,97.7973
2024-05-06,97.1538
2024-04-06,93.8529
2024-03-06,97.572
,95.3435
,95.26
,96.422
,96.9662
,97.2496
,97.1641
,97.6268
,96.6311
,96.6377
,96.5667
,95.8039
,95.3403
,95.0867
,94.9181
2024-10-05,94.944
2024-09-05,94.1648
2024-08-05,95.1781
2024-07-05,95.2615
2024-06-05,96.1226
2024-03-05,96.2268
2024-02-05,96.6825
,96.3277
,96.2744
,95.5204
,96.2399
,96.3725
,95.9438
,95.5704
,95.0403
,94.7785
,95.2528
,95.7903
2024-12-04,97.352
2024-10-04,97.6149
2024-09-04,97.5888
2024-08-04,97.5362
2024-05-04,96.6215
2024-04-04,96.4476
2024-03-04,95.9101
2024-02-04,95.7608
2024-01-04,95.504
,94.7314
,94.7358
,93.9876
,93.5808
,92.3497
,91.6362
,90.1357
,90.1635
,90.5286
,90.1664
,90.2709
,89.3397
2024-12-03,91.1882
2024-11-03,91.2347
2024-07-03,90.9543
2024-06-03,90.5435
2024-05-03,90.0501
2024-04-03,90.746
2024-01-03,90.8589
,89.9973
,89.799
,90.9648
,90.4475
,91.0211
,90.5233
,89.9277
,90.5408
,90.4864
,89.9501
,89.2836
,88.6018
,88.5891
2024-12-02,88.4978
2024-09-02,88.9904
2024-08-02,88.8906
2024-07-02,89.1219
2024-06-02,88.8898
2024-05-02,87.9175
2024-02-02,88.0783
2024-01-02,87.5274
,87.6883
,86.7464
,87.625
,86.7929
,87.1611
,86.1726
,87.7628
,87.3317
,87.7973
,89.0802
,89.4426
2024-12-01,89.2661
2024-11-01,88.8697
2024-10-01,88.6949
2024-09-01,88.7379
2024-08-01,88.4806
2024-05-01,89.3931
2024-04-01,89.3141
2024-03-01,88.276
2024-02-01,88.7896
2024-01-01,88.5872
,88.6224
,88.2002
,87.8865
,87.1531
,86.9823
,86.3297
,85.8692
,87.7026
,87.7642
,87.4489
,86.9194
,85.5812
2023-12-12,85.7571
2023-11-12,86.2758
2023-08-12,85.9606
2023-07-12,86.3885
2023-06-12,86.0435
2023-05-12,85.591
2023-04-12,85.3715
2023-01-12,84.5496
,84.2614
,83.5921
,82.5944
,82.1289
,82.3248
,82.7354
,82.3562
,82.2374
,82.6567
,82.5266
,81.9033
,81.1712
2023-10-11,81.0978
2023-09-11,80.9422
2023-08-11,80.8372
2023-07-11,80.4516
2023-06-11,80.2539
2023-03-11,79.4676
2023-02-11,79.0811
2023-01-11,78.4438
,78.7876
,78.6548
,78.5618
,77.8286
,78.9728
,79.3914
,80.6656
,80.7616
,81.0883
,81.6217
,81.4291
,81.8571
2023-12-10,81.5568
2023-11-10,81.9337
2023-10-10,81.3312
2023-09-10,80.6672
2023-06-10,81.281
2023-05-10,80.5885
2023-04-10,80.1873
2023-03-10,80.4898
,80.2623
,80.9407
,80.8138
,80.5412
,80.1359
,80.4578
,81.0945
,81.6682
,81.6974
,81.4094
,80.88
2023-12-09,80.9115
2023-11-09,81.2572
2023-08-09,80.6406
2023-07-09,80.2445
2023-06-09,79.9096
2023-05-09,79.6322
2023-04-09,79.2103
2023-01-09,78.7931
,78.33
,78.8146
,78.4579
,77.9343
,77.7906
,77.9647
,77.7681
,77.6152
,77.3089
,76.6833
,77.1435
,77.5465
,77.6284
2023-11-08,78.0866
2023-10-08,78.8457
2023-09-08,79.1715
2023-08-08,79.3359
2023-07-08,79.6001
2023-04-08,79.4055
2023-03-08,78.6486
2023-02-08,79.1648
2023-01-08,79.8018
,79.6969
,79.5813
,79.2279
,79.7424
,79.7352
,79.672
,79.9104
,80.242
,80.4138
,79.8305
,80.1899
,80.2997
,79.508
2023-12-07,79.3202
2023-11-07,79.1498
2023-10-07,78.8891
2023-07-07,79.6889
2023-06-07,80.3788
2023-05-07,79.9962
2023-04-07,79.7879
2023-03-07,79.1417
,79.0815
,78.6424
,78.1501
,77.8
,77.6483
,78.3375
,79.2999
,79.259
,79.3349
,79.3826
,78.5273
,77.9651
,77.9565
2023-12-06,77.4286
2023-09-06,76.9204
2023-08-06,76.8357
2023-07-06,77.6009
2023-06-06,76.5604
2023-05-06,76.1444
2023-02-06,76.1186
2023-01-06,75.9464
,75.5768
,75.6253
,75.5785
,75.2549
,74.2147
,73.9094
,74.1111
,73.7622
,73.2915
,73.0567
,73.2558
,73.873
,73.9206
2023-12-05,74.2078
2023-11-05,74.2638
2023-10-05,74.1124
2023-09-05,73.7085
2023-08-05,73.7065
2023-05-05,72.7981
2023-04-05,72.9185
2023-03-05,72.0198
2023-02-05,71.9451
,71.9798
,70.8328
,70.2651
,70.2622
,70.1351
,70.0472
,69.884
,70.0991
,70.2852
,69.9252
,70.0008
2023-12-04,69.8881
2023-11-04,69.4778
2023-10-04,68.8753
2023-06-04,69.073
2023-05-04,68.808
2023-03-04,68.1351
,67.5488
,66.7265
,65.9999
,66.0237
,66.2364
,66.7888
,66.8934
,66.5076
,66.3291
,66.8784
,66.6861
,66.4041
,66.4865
,67.0393
2023-10-03,67.9665
2023-09-03,68.4496
2023-08-03,69.0308
2023-06-03,69.1585
2023-03-03,68.7209
2023-02-03,68.5425
2023-01-03,68.9211
,68.3805
,68.4824
,68.7126
,68.7063
,68.9248
,69.9427
,69.9459
,70.0019
,70.5816
,70.0632
,69.1866
,68.9661
2023-10-02,69.8154
2023-09-02,69.8143
2023-08-02,69.6656
2023-07-02,68.8848
2023-06-02,68.7995
2023-03-02,68.936
2023-02-02,68.5272
2023-01-02,68.5751
,68.3442
,68.4819
,68.0593
,68.4487
,69.2382
,69.3624
,69.0239
,69.4972
,70.0482
,69.8692
,69.659
,70.263
2023-12-01,70.1017
2023-11-01,70.0302
2023-10-01,70.3295
2023-09-01,70.68
2023-06-01,70.0052
2023-05-01,70.7817
2023-04-01,71.6233
2023-03-01,72.4388
2023-02-01,72.1487
,72.1133
,72.326
,72.239
,72.2696
,71.8064
,70.9687
,72.4265
,72.9939
,73.6085
,73.7565
,73.0535
,74.0003
,74.7981
,74.2943
2022-12-12,73.8144
2022-09-12,73.7258
2022-08-12,74.0809
2022-07-12,74.2084
2022-06-12,74.5749
2022-05-12,74.5897
2022-02-12,74.5548
2022-01-12,74.7124
,74.3607
,73.8042
,73.7588
,73.4058
,73.4842
,73.0808
,72.8393
,72.5227
,73.0331
,73.3032
,73.9799
,74.2266
,74.4336
2022-11-11,74.2379
2022-10-11,73.2877
2022-09-11,74.0695
2022-07-11,74.3683
2022-04-11,74.6355
2022-03-11,74.4512
2022-02-11,74.5626
2022-01-11,74.829
,73.9984
