amfi_code,sharpe,scheme_name,risk_category,category,sub_category,risk_appetite
120507,13.655945785490593,ICICI Pru Liquid Fund - Regular - Growth,Low,Debt,Liquid,Low
120844,12.573992069233972,Kotak Liquid Fund - Regular - Growth,Low,Debt,Liquid,Low
101208,12.019194437293626,ABSL Liquid Fund - Regular - Growth,Low,Debt,Liquid,Low
148567,1.9062406061129364,Mirae Asset Large Cap Fund - Regular - Growth,Moderate,Equity,Large Cap,Moderate
119551,1.681288519294751,SBI Bluechip Fund - Regular Plan - Growth,Moderate,Equity,Large Cap,Moderate
118632,1.541076634076362,Nippon India Large Cap Fund - Regular - Growth,Moderate,Equity,Large Cap,Moderate
120843,1.7158838646601777,Kotak Flexicap Fund - Regular - Growth,Moderately High,Equity,Flexi Cap,High
148569,1.602701754817665,Mirae Asset Tax Saver Fund - Regular - Growth,High,Equity,ELSS,High
120505,1.5170467705867339,ICICI Pru Midcap Fund - Regular - Growth,High,Equity,Mid Cap,High
